

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

14755.834  001.014  001.014: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/clang_format.vim
14757.035  001.107  001.107: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/fugitive.vim
14758.627  001.487  001.487: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/surround.vim
14760.559  001.047  001.047: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/unite/custom.vim
14760.750  002.013  000.966: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/unite/bookmark.vim
14761.388  000.534  000.534: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/unite/buffer.vim
14762.109  000.620  000.620: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/unite/window.vim
14762.766  000.560  000.560: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/unite.vim
14769.533  001.078  001.078: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/vital/unite.vim
14771.109  000.588  000.588: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/vital/_unite/Prelude.vim
14771.652  001.756  001.168: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/vital/_unite/Prelude.vim
14772.506  005.657  002.823: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/unite/util.vim
14773.154  006.867  001.210: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/unite.vim
14774.091  000.637  000.637: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/unite/variables.vim
14774.874  012.016  004.512: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/webdevicons.vim
14776.892  000.772  000.772: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/gzip.vim
14777.410  000.420  000.420: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/health.vim
14777.980  000.470  000.470: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/man.vim
14779.464  001.387  001.387: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/matchit.vim
14780.230  000.668  000.668: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/matchparen.vim
14781.411  001.081  001.081: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/netrwPlugin.vim
14784.151  000.750  000.750: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/autoload/remote/host.vim
14786.014  001.061  001.061: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/autoload/remote/define.vim
14786.193  004.068  002.257: sourcing /Users/fill/.local/share/nvim/rplugin.vim
14786.210  004.690  000.622: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/rplugin.vim
14786.618  000.299  000.299: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/rrhelper.vim
14787.461  000.679  000.679: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/shada.vim
14787.914  000.331  000.331: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/spellfile.vim
14788.547  000.523  000.523: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/tarPlugin.vim
14789.075  000.430  000.430: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/tohtml.vim
14789.454  000.280  000.280: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/tutor.vim
14790.152  000.589  000.589: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/zipPlugin.vim
14790.169  007.258: loading plugins
14790.362  000.193: loading packages
14791.567  000.960  000.960: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/after/plugin/indentLine.vim
14791.697  000.374: loading after plugins
14791.715  000.018: inits 3
14798.140  006.425: reading ShaDa
14798.152  000.012: waiting for return
15827.719  1029.568: clearing screen
15839.920  002.433  002.433: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/scripts.vim
15841.886  000.481  000.481: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/ftplugin/toml.vim
15846.473  000.486  000.486: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/after/ftplugin/toml/caw.vim
15848.866  000.993  000.993: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/syntax/toml.vim
15851.336  001.198  001.198: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions.vim
15852.284  000.433  000.433: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/quickfix.vim
15852.984  000.323  000.323: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/unite.vim
