

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

273.819  000.535  000.535: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/matchparen.vim
275.140  001.207  001.207: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/netrwPlugin.vim
277.779  000.738  000.738: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/autoload/remote/host.vim
279.044  000.836  000.836: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/autoload/remote/define.vim
279.194  003.244  001.670: sourcing /Users/fill/.local/share/nvim/rplugin.vim
279.211  003.969  000.724: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/rplugin.vim
279.679  000.370  000.370: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/rrhelper.vim
280.334  000.555  000.555: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/shada.vim
280.830  000.403  000.403: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/spellfile.vim
281.517  000.590  000.590: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/tarPlugin.vim
282.161  000.543  000.543: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/tohtml.vim
282.633  000.375  000.375: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/tutor.vim
283.402  000.654  000.654: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/zipPlugin.vim
283.417  007.855: loading plugins
283.605  000.188: loading packages
286.125  001.511  001.511: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/after/plugin/indentLine.vim
286.250  001.133: loading after plugins
286.264  000.014: inits 3
291.859  005.595: reading ShaDa
291.869  000.010: waiting for return
3056.233  2764.364: clearing screen
3069.340  000.447  000.447: sourcing /Users/fill/.cache/dein/repos/github.com/osyo-manga/vim-monster/plugin/monster.vim
3070.915  001.132  001.132: sourcing /Users/fill/.cache/dein/repos/github.com/tpope/vim-endwise/plugin/endwise.vim
3071.762  000.079  000.079: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/filetype.vim
3072.052  000.029  000.029: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/ftplugin.vim
3072.189  000.033  000.033: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/ftplugin.vim
3072.502  000.042  000.042: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/filetype.vim
3072.772  000.026  000.026: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/indent.vim
3076.291  001.192  001.192: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/autoload/provider/ruby.vim
3405.577  331.803  330.611: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/ftplugin/ruby.vim
3407.775  000.537  000.537: sourcing /Users/fill/.cache/dein/repos/github.com/osyo-manga/vim-monster/after/ftplugin/ruby/monster.vim
3409.828  000.696  000.696: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/after/ftplugin/ruby/caw.vim
3411.902  001.570  001.570: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/indent/ruby.vim
3417.951  005.540  005.540: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/syntax/ruby.vim
3419.724  001.028  001.028: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions.vim
3421.036  000.935  000.935: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/quickfix.vim
3421.662  000.241  000.241: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/unite.vim
3422.347  000.306  000.306: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/netrw.vim
3423.059  000.367  000.367: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/term.vim
3424.307  000.770  000.770: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/branch.vim
3425.376  000.652  000.652: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/extensions/fugitiveline.vim
